title,year,duration,genre,rating,movie_url
A Clockwork Orange ,1971,2h 16min,Crime,8.3,https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt
2001: A Space Odyssey ,1968,2h 29min,Adventure,8.3,https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt
For a Few Dollars More ,1965,2h 12min,Western,8.3,https://www.imdb.com/title/tt0059578/?ref_=adv_li_tt
Das Boot ,1981,2h 29min,Adventure,8.3,https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt
Taxi Driver ,1976,1h 54min,Crime,8.3,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt
The Sting ,1973,2h 9min,Comedy,8.3,https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt
Star Wars: Episode VI - Return of the Jedi ,1983,2h 11min,Action,8.3,https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt
Scarface ,1983,2h 50min,Crime,8.3,https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt
Amadeus ,1984,2h 40min,Biography,8.3,https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt
Aliens ,1986,2h 17min,Action,8.3,https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt
Батько та Син ,2005,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt
Toy Story 3 ,2010,1h 43min,Animation,8.3,https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt
A Separation ,2011,2h 3min,Drama,8.3,https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
The Hunt ,2012,1h 55min,Drama,8.3,https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
Incendies ,2010,2h 11min,Drama,8.3,https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
Andhadhun ,2018,2h 19min,Crime,8.3,https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt
Sunset Blvd. ,1950,1h 50min,Drama,8.4,https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
The Great Dictator ,1940,2h 5min,Comedy,8.4,https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
Rear Window ,1954,1h 52min,Mystery,8.4,https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt
Paths of Glory ,1957,1h 28min,Drama,8.4,https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,1h 35min,Comedy,8.4,https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
Witness for the Prosecution ,1957,1h 56min,Crime,8.4,https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
Alien ,1979,1h 57min,Horror,8.4,https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt
Apocalypse Now ,1979,2h 27min,Drama,8.4,https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
The Shining ,1980,2h 26min,Drama,8.4,https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
Princess Mononoke ,1997,2h 14min,Animation,8.4,https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
Once Upon a Time in America ,1984,3h 49min,Crime,8.4,https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt
Oldboy ,2003,2h,Action,8.4,https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
Memento ,2000,1h 53min,Mystery,8.4,https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt
The Lives of Others ,2006,2h 17min,Drama,8.4,https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
WALL·E ,2008,1h 38min,Animation,8.4,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
Raiders of the Lost Ark ,1981,1h 55min,Action,8.4,https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt
Зіроньки на Землі ,2007,2h 45min,Drama,8.4,https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
The Dark Knight Rises ,2012,2h 44min,Action,8.4,https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
Django Unchained ,2012,2h 45min,Drama,8.4,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
Coco ,2017,1h 45min,Animation,8.4,https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt
3 Idiots ,2009,2h 50min,Comedy,8.4,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
Dangal ,2016,2h 41min,Action,8.4,https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
Your Name. ,2016,1h 46min,Animation,8.4,https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
Spider-Man: Into the Spider-Verse ,2018,1h 57min,Animation,8.4,https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt
Capernaum ,2018,2h 6min,Drama,8.4,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
Avengers: Endgame ,2019,3h 1min,Action,8.4,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt
Modern Times ,1936,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
City Lights ,1931,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
1917 ,2019,1h 59min,Drama,8.4,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt
Casablanca ,1942,1h 42min,Drama,8.5,https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
Harakiri ,1962,2h 13min,Action,8.7,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt
Goodfellas ,1990,2h 26min,Biography,8.7,https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt
The Matrix ,1999,2h 16min,Action,8.7,https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,8.7,https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt
"The Good, the Bad and the Ugly ",1966,2h 58min,Western,8.8,https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,8.7,https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt
Forrest Gump ,1994,2h 22min,Drama,8.8,https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt
Fight Club ,1999,2h 19min,Drama,8.8,https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt
